,State,Petrol_Price(Cost/L)
0,Andhra Pradesh,₹109.76
1,Arunachal Pradesh,₹92.66
2,Assam,₹99
3,Bihar,₹106.94
4,Chandigarh,₹94.3
5,Dadra and Nagar Haveli,₹92.57
6,Daman and Diu,₹92.37
7,Delhi,₹94.77
8,Gujarat,₹94.29
9,Haryana,₹95.67
10,Himachal Pradesh,₹94.33
11,Jharkhand,₹98.45
12,Karnataka,₹103.39
13,Kerala,₹105.87
14,Madhya Pradesh,₹107.83
15,Maharashtra,₹104.11
16,Manipur,₹99.09
17,Meghalaya,₹95.62
18,Mizoram,₹99.15
19,Nagaland,₹96.66
20,Odisha,₹102.63
21,Pondicherry,₹96.03
22,Punjab,₹97.34
23,Rajasthan,₹104.36
24,Sikkim,₹101.9
25,Tamil Nadu,₹102.08
26,Telangana,₹108.83
27,Tripura,₹97.53
28,Uttar Pradesh,₹94.55
29,Uttarakhand,₹95.11
30,West Bengal,₹106.68
